event,points,total_points,rank,rank_sort,overall_rank,percentile_rank,bank,value,event_transfers,event_transfers_cost,points_on_bench,team
10,52,586,1394781,1413941,1245513,15,4,1017,1,0,12,Tesco McNeil Deal
11,74,660,500809,508388,684261,5,0,1020,1,0,1,Tesco McNeil Deal
12,58,718,2887853,2922108,680495,30,0,1021,0,0,5,Tesco McNeil Deal
13,73,791,2595220,2613853,658498,25,6,1018,1,0,10,Tesco McNeil Deal
14,65,852,3707309,3714667,761687,35,32,1017,3,4,6,Tesco McNeil Deal
15,59,911,3124315,3145920,674175,30,13,1019,1,0,0,Tesco McNeil Deal
16,51,962,4151464,4186374,691520,40,9,1022,1,0,8,Tesco McNeil Deal
17,78,1040,2601345,2623676,691120,25,10,1024,1,0,13,Tesco McNeil Deal
18,54,1082,5378412,5381390,1070855,50,3,1027,4,12,13,Tesco McNeil Deal
19,86,1168,1212238,1231943,887575,15,2,1031,1,0,13,Tesco McNeil Deal
20,60,1228,5356195,5403493,1005832,50,2,1034,0,0,2,Tesco McNeil Deal
21,74,1302,1788379,1799455,878215,20,2,1035,2,0,11,Tesco McNeil Deal
22,45,1347,5499507,5576326,905759,50,2,1036,0,0,3,Tesco McNeil Deal
23,58,1405,6391438,6428295,973295,60,15,1037,1,0,3,Tesco McNeil Deal
24,135,1540,869012,879378,721557,10,2,1035,2,0,7,Tesco McNeil Deal
25,107,1643,487786,497592,577713,5,7,1032,2,4,12,Tesco McNeil Deal
26,83,1726,1672421,1699822,539193,15,18,1032,1,0,11,Tesco McNeil Deal
27,48,1774,8168245,8195223,631831,75,7,1033,1,0,9,Tesco McNeil Deal
28,57,1831,4834803,4899887,675675,45,7,1033,0,0,4,Tesco McNeil Deal
29,68,1899,765955,787190,484152,10,7,1030,0,0,9,Tesco McNeil Deal
30,47,1946,5086492,5104864,516149,45,52,1024,2,0,3,Tesco McNeil Deal
31,34,1980,5285474,5362007,608729,50,52,1026,0,0,10,Tesco McNeil Deal
32,74,2054,2261944,2273901,626338,20,40,1024,2,0,20,Tesco McNeil Deal
33,61,2115,4430651,4446924,685006,40,32,1025,1,0,21,Tesco McNeil Deal
34,33,2140,8858165,8858692,1096239,80,10,1025,3,8,2,Tesco McNeil Deal
35,48,2188,3063923,3141722,1063692,30,10,1025,0,0,4,Tesco McNeil Deal
36,62,2250,869781,880611,938446,10,36,1020,2,0,12,Tesco McNeil Deal
37,49,2299,2695596,2720549,935813,25,35,1020,1,0,9,Tesco McNeil Deal
38,66,2361,973780,985783,878616,10,49,1015,2,4,0,Tesco McNeil Deal
1,60,60,3608218,3779972,3608219,45,5,1000,0,0,5,tbc
2,68,128,5157816,5218372,4180222,55,5,999,0,0,6,tbc
3,65,193,5374802,5406287,4288529,55,3,1002,2,0,6,tbc
4,54,247,4158330,4244922,3941559,45,4,1002,0,0,25,tbc
5,77,324,707571,737177,2448668,10,4,1007,0,0,7,tbc
6,37,361,8178403,8196576,3675107,80,5,1011,2,0,3,tbc
7,27,388,10032774,10059448,5112273,100,5,1012,0,0,12,tbc
